containerd.io |   1.6.21-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.21-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.20-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.20-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.19-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.19-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.18-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.18-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.16-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.16-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.15-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.15-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.14-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.14-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.13-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.13-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.12-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.12-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.11-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.11-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.10-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.6.10-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.9-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.9-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.8-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.8-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.7-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.7-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.6-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.6-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.4-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.6.4-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.5.11-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.5.11-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.5.10-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.5.10-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.13-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.13-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.12-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.12-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.11-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.11-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.10-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.4.10-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.9-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.9-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.8-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.8-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.6-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.6-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.4-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.4-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.3-2 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.3-2 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.3-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.4.3-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.3.9-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.3.9-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.3.7-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.3.7-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.13-2 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.13-2 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.13-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.13-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.10-3 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.10-3 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.10-2 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |   1.2.10-2 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.6-3 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.6-3 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.5-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.5-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.4-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.4-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.2-3 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.2-3 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.2-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.2-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.0-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
containerd.io |    1.2.0-1 | https://download.docker.com/linux/ubuntu bionic/stable amd64 Packages
containerd.io | 1.2.0~rc.2-1 | https://mirrors.aliyun.com/docker-ce/linux/ubuntu bionic/stable amd64 Packages
